tijdstip,waarde
2016-12-31 01:00,33.9
2016-12-31 02:00,35.9
2016-12-31 03:00,48.9
2016-12-31 04:00,53.3
2016-12-31 05:00,48.2
2016-12-31 06:00,25.6
2016-12-31 07:00,27.8
2016-12-31 08:00,18.8
2016-12-31 09:00,23.4
2016-12-31 10:00,26.7
2016-12-31 11:00,19.1
2016-12-31 12:00,27.5
2016-12-31 13:00,28.8
2016-12-31 14:00,40.7
2016-12-31 15:00,45.1
2016-12-31 16:00,47.9
2016-12-31 17:00,50.2
2016-12-31 18:00,45.9
2016-12-31 19:00,57.0
2016-12-31 20:00,53.2
2016-12-31 21:00,57.1
2016-12-31 22:00,69.2
2016-12-31 23:00,53.8
2017-01-01 00:00,66.1
2017-01-01 01:00,182.8
2017-01-01 02:00,173.9
2017-01-01 03:00,253.4
2017-01-01 04:00,119.8
2017-01-01 05:00,73.9
2017-01-01 06:00,52.3
2017-01-01 07:00,48.0
2017-01-01 08:00,37.0
2017-01-01 09:00,30.8
2017-01-01 10:00,34.2
2017-01-01 11:00,30.9
2017-01-01 12:00,36.8
2017-01-01 13:00,36.6
2017-01-01 14:00,32.5
2017-01-01 15:00,25.0
2017-01-01 16:00,31.7
2017-01-01 17:00,30.8
2017-01-01 18:00,35.3
2017-01-01 19:00,37.9
2017-01-01 20:00,37.8
2017-01-01 21:00,41.0
2017-01-01 22:00,32.3
2017-01-01 23:00,31.1
2017-01-02 00:00,24.8
