tijdstip,locatie,component,waarde,LKI
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO2,51.1,5
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM25,30.3,5
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM10,33.9,4
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,FN,1.51,2
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,O3,1.4,1
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO,5.5,1
2016-12-31 01:00:00+01:00,Amsterdam-Vondelpark,CO,424.6,2
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO2,47.9,5
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM25,35.3,5
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM10,35.9,4
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,FN,1.47,2
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,O3,1.1,1
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO,5.0,1
2016-12-31 02:00:00+01:00,Amsterdam-Vondelpark,CO,407.6,2
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO2,44.9,4
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM25,38.8,5
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM10,48.9,5
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,FN,1.59,2
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,O3,1.7,1
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO,3.4,1
2016-12-31 03:00:00+01:00,Amsterdam-Vondelpark,CO,406.3,2
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,PM10,53.3,5
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO2,43.0,4
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,PM25,42.1,6
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,FN,1.59,2
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,O3,1.0,1
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO,3.8,1
2016-12-31 04:00:00+01:00,Amsterdam-Vondelpark,CO,438.3,2
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,NO2,44.4,4
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,PM25,35.8,5
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,PM10,48.2,5
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,FN,1.48,2
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,O3,0.8,1
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,NO,6.9,1
2016-12-31 05:00:00+01:00,Amsterdam-Vondelpark,CO,501.1,3
