tijdstip,waarde
2014-12-31 01:00:00+01:00,26.5
2014-12-31 02:00:00+01:00,28.9
2014-12-31 03:00:00+01:00,26.1
2014-12-31 04:00:00+01:00,34.3
2014-12-31 05:00:00+01:00,30.1
2014-12-31 06:00:00+01:00,29.2
2014-12-31 07:00:00+01:00,26.5
2014-12-31 08:00:00+01:00,24.9
2014-12-31 09:00:00+01:00,31.1
2014-12-31 10:00:00+01:00,30.1
2014-12-31 11:00:00+01:00,23.7
2014-12-31 12:00:00+01:00,17.8
2014-12-31 13:00:00+01:00,16.3
2014-12-31 14:00:00+01:00,22.4
2014-12-31 15:00:00+01:00,15.2
2014-12-31 16:00:00+01:00,18.4
2014-12-31 17:00:00+01:00,23.1
2014-12-31 18:00:00+01:00,36.1
2014-12-31 19:00:00+01:00,35.3
2014-12-31 20:00:00+01:00,50.2
2014-12-31 21:00:00+01:00,56.7
2014-12-31 22:00:00+01:00,75.5
2014-12-31 23:00:00+01:00,60.7
2015-01-01 00:00:00+01:00,44.5
2015-01-01 01:00:00+01:00,127.5
2015-01-01 02:00:00+01:00,153.6
2015-01-01 03:00:00+01:00,225.5
2015-01-01 04:00:00+01:00,176.6
2015-01-01 05:00:00+01:00,66.5
2015-01-01 06:00:00+01:00,43.1
2015-01-01 07:00:00+01:00,42.3
2015-01-01 08:00:00+01:00,39.2
2015-01-01 09:00:00+01:00,35.2
2015-01-01 10:00:00+01:00,35.4
2015-01-01 11:00:00+01:00,31.2
2015-01-01 12:00:00+01:00,33
2015-01-01 13:00:00+01:00,22.3
2015-01-01 14:00:00+01:00,22.8
2015-01-01 15:00:00+01:00,23.9
2015-01-01 16:00:00+01:00,28.2
2015-01-01 17:00:00+01:00,28
2015-01-01 18:00:00+01:00,24
2015-01-01 19:00:00+01:00,21
2015-01-01 20:00:00+01:00,20.8
2015-01-01 21:00:00+01:00,24.4
2015-01-01 22:00:00+01:00,23.6
2015-01-01 23:00:00+01:00,30.9
2015-01-02 00:00:00+01:00,22.5
